Job Working,ReadyStatus,Job Wait,OFF or unknown,AlarmStatus,Job Workingwaitoperator,Wait for reset,Manual job Working,Bevel Inclined Poly,Bevel Straight Poly,Bevel Straight CR 1,Bevel Straight CR 2,Groove Poly,Bevel Inclined HI,Bevel Straight HI,Groove OR,Cycle Time,Job Correctly Completed,Lens Rejected (Lens 2),Lens Rejected (Lens 1),Cannot Load Lens from Pallet,Server didnt send job,Barcode Not readable,Lens not traceable,Timestamp Identifier not received
137414,3013,66359,28259,9306,10019,567,87,554,243,194,100,70,67,39,12,64,1134,44,18,9,9,1,16,0
136497,1337,74790,28929,8061,8105,1126,175,492,252,203,94,73,58,34,11,135,1086,68,47,40,12,35,7,0
137635,4232,66601,28262,10133,9537,448,926,489,256,182,107,76,70,32,13,129,971,69,30,20,11,2,7,1
135800,4568,74165,28782,8456,8685,1382,277,462,225,206,92,75,70,38,9,135,960,53,18,21,8,17,14,1
137563,4484,75851,28504,11986,9621,350,1366,503,275,206,98,76,56,39,11,136,1033,43,43,30,11,29,7,1
137261,4850,72996,29573,10537,9179,542,1320,465,268,202,96,74,64,34,9,73,1126,48,34,31,18,19,12,0
135441,3843,69599,28202,11671,8921,991,1303,543,221,222,98,76,52,36,9,108,825,61,39,15,13,31,11,0
137241,3270,71371,29759,9752,8337,1002,423,526,270,208,104,76,54,42,12,83,1151,58,39,8,13,20,15,0
138024,1232,69412,29370,12099,8957,809,1439,457,270,186,99,72,62,35,10,83,1270,43,40,11,8,23,8,1
138617,843,73181,28051,11829,10195,1064,32,507,251,219,92,74,52,39,11,121,1122,51,29,30,16,19,7,0
137812,3087,74508,29616,7171,9325,489,1051,474,251,199,101,72,66,42,12,92,939,59,44,21,10,37,12,1
138145,6664,73701,29379,11886,8753,396,208,453,271,201,108,68,62,41,13,54,920,54,20,33,19,9,13,1
136563,4264,65798,29746,9438,9439,895,601,472,229,222,111,74,53,34,12,63,1031,57,30,27,12,5,7,0
137339,1474,73920,29542,8406,8560,1380,1617,492,253,200,91,76,61,37,9,104,924,51,38,24,19,16,14,0
136590,492,72545,28362,10092,9298,594,247,537,255,211,91,72,72,32,11,76,1055,57,46,37,15,36,15,1
138203,4547,67405,28044,11850,9162,290,1401,502,246,207,105,71,63,31,13,100,1000,69,36,22,17,1,13,0
136678,7845,75045,28826,10230,10126,1354,846,515,222,195,95,72,59,31,12,114,1065,70,40,36,19,19,15,0
138699,6416,70627,29401,10001,8532,1310,1381,451,254,224,99,71,51,35,9,54,970,52,45,13,23,14,9,1
137756,3448,70930,28788,9341,9708,1234,789,461,237,211,92,76,54,37,13,142,1156,57,35,25,23,28,16,1
135975,7506,68506,29435,9514,9181,540,17,520,226,189,104,75,64,42,9,69,687,49,45,39,13,6,16,0
135234,7082,72437,28770,11915,10109,479,212,475,257,197,95,72,66,35,12,112,1028,54,35,27,20,35,16,0
137453,764,67869,28141,7203,9908,609,513,545,251,199,104,72,58,34,12,107,1052,62,42,8,14,27,9,1
138352,2395,67928,29281,8574,9257,369,1117,519,248,212,106,72,63,39,9,101,1285,64,20,36,9,24,11,0
137155,311,75368,28796,7422,8754,870,856,446,241,190,109,74,70,32,11,127,943,47,23,12,23,4,8,0
136785,3829,72064,29937,8268,9632,334,921,553,231,220,100,74,72,32,11,107,977,53,40,11,15,29,14,0
138659,7244,66367,28036,10243,10086,1524,806,556,261,185,111,70,51,40,10,94,957,69,44,38,18,29,15,0
138273,3318,66806,29964,11337,8255,371,1040,558,274,193,97,68,60,31,12,129,1116,52,38,29,16,33,14,1
136221,951,68313,28044,9751,8300,335,1262,514,256,207,98,75,54,35,11,142,716,67,20,9,21,6,16,1
138661,649,75159,28919,10272,10063,1482,527,496,259,182,92,71,57,42,9,72,752,53,18,26,17,16,11,1
137813,1232,71942,29655,9683,8598,340,176,488,265,181,94,71,72,35,11,124,1261,43,37,18,9,4,11,0
136329,3723,69366,29069,8305,9525,396,1154,546,268,188,107,76,61,31,13,116,1132,61,42,32,9,38,15,1
136700,1268,66247,29675,9667,9334,869,297,488,247,190,106,74,53,36,13,136,1221,48,40,8,21,13,9,0
135902,6624,69689,28564,6433,10146,515,1086,456,240,208,100,74,55,35,9,127,981,56,37,39,15,8,10,1
137649,6083,73443,28300,12012,9576,312,997,499,269,185,106,75,62,37,9,80,853,69,30,14,8,0,8,1
137977,6363,66471,28287,6594,8930,1546,796,554,240,182,109,68,61,41,12,127,1044,48,40,19,15,18,9,1
136779,3315,71414,28785,10869,9071,1065,1153,447,222,221,91,76,51,42,13,125,889,48,45,9,12,32,12,0
135361,3680,65471,28268,8327,9437,1377,362,475,257,197,106,68,62,31,11,88,714,57,45,41,17,17,10,1
135401,7660,70982,29923,11654,9505,300,615,440,247,213,90,72,59,33,10,79,1221,54,37,25,18,7,14,0
137181,2565,74635,28790,11863,10125,1457,1293,559,238,205,107,76,66,40,9,58,737,70,38,16,12,1,11,1
136195,2546,75351,29085,9670,10078,1557,267,485,233,185,105,70,61,39,13,80,927,70,23,10,10,5,12,0
137517,7456,71156,29589,8997,9442,1510,499,478,238,208,99,69,53,36,9,65,1284,55,41,34,23,37,8,1
136015,1870,71509,29993,12147,8302,1452,1563,454,231,198,101,69,58,32,11,139,735,63,44,36,8,28,13,1
138542,7691,75680,29974,9937,9944,1197,1510,524,234,203,112,74,68,39,11,99,1262,57,20,21,21,3,13,0
135655,6148,75985,28580,8989,9061,581,913,528,264,215,97,72,54,33,13,63,999,47,39,15,10,6,16,0
138733,4629,68877,29265,7768,8561,576,216,510,224,198,105,75,59,33,12,137,860,45,28,39,22,21,12,0
136475,385,73680,28935,11067,9973,1052,1380,506,259,191,101,72,54,32,12,91,989,43,39,31,14,0,15,0
136216,7062,69376,29805,7042,9678,1347,645,520,233,223,109,69,51,35,10,76,1171,65,19,33,11,16,9,0
137543,1543,65457,29787,11425,8300,1447,1004,530,239,223,112,74,53,33,11,127,818,45,27,18,11,41,8,1
137967,3990,73077,28353,8314,8615,1547,1309,452,263,190,101,74,61,36,9,97,1225,55,35,12,23,39,8,0
135537,5803,68017,29819,10454,9875,698,1502,543,259,190,90,69,60,35,11,142,1072,69,34,41,13,39,9,1
136078,521,75462,28967,9564,9329,341,545,537,245,216,105,73,68,41,13,100,698,54,36,15,21,23,14,0
136276,1210,73737,29999,7485,9454,1137,722,493,235,189,93,72,66,39,10,94,1185,59,45,22,8,28,15,0
135991,6453,68095,29886,8052,8843,817,1435,513,271,222,102,71,64,40,12,136,953,45,22,22,13,7,14,0
137464,5221,72500,28070,9712,8974,1620,967,515,240,193,105,75,58,40,12,111,1165,57,22,32,20,16,11,0
135963,787,72828,28834,12012,9375,975,1354,452,237,203,94,75,61,42,11,81,685,43,19,28,22,16,11,0
137435,1150,67677,28412,9040,9729,1097,692,552,275,181,97,72,51,33,12,120,1240,53,32,13,16,37,12,0
135579,470,74341,28611,9499,8493,1684,783,532,221,196,112,71,71,33,9,134,1217,58,18,40,12,42,8,1
135692,3645,67110,29084,7685,10116,1339,921,442,249,199,100,76,61,34,10,98,839,55,32,25,11,19,7,0
138312,3057,70490,28614,9090,9077,1199,1472,481,264,192,110,72,63,35,11,110,1152,44,32,14,19,31,7,0
136380,411,70732,29475,10654,8266,1254,1020,440,239,185,108,71,63,40,10,64,767,61,43,34,19,16,7,0
137262,700,73195,29416,7472,9075,821,26,484,250,185,111,69,52,38,10,84,832,59,19,31,22,25,9,0
135264,2465,67426,29654,10882,10128,1535,1135,467,245,187,100,73,51,32,11,60,1120,49,41,25,9,29,8,0
137768,4012,72253,28528,7872,8551,1069,1515,548,248,224,110,72,64,40,12,141,1122,64,21,30,19,20,7,1
136567,3424,68330,29328,10107,8959,312,1160,449,257,194,95,73,60,31,10,63,949,63,39,9,15,22,11,0
136352,6080,71623,28190,10606,8309,860,1561,452,262,213,106,68,54,37,13,78,1131,54,23,14,18,25,11,0
137227,4164,71047,29747,10116,8867,631,261,475,231,186,111,73,65,38,13,93,763,56,44,27,8,12,9,1
137895,4716,75799,28077,8334,9708,534,646,465,236,198,108,72,66,35,12,112,1110,60,27,17,21,2,12,0
136695,3508,70905,29581,9143,8313,1353,688,486,238,186,93,74,51,38,13,71,999,68,23,8,12,0,13,1
138334,5599,71191,29628,11667,9901,1326,521,524,261,210,99,68,65,38,10,100,718,64,46,16,13,21,8,0
136362,6289,68376,28888,8307,9786,1557,1322,484,274,192,102,70,63,34,13,69,971,66,44,8,11,20,15,0
136722,4814,67644,29548,7220,9072,552,1133,516,229,215,95,69,55,40,9,115,924,50,33,40,13,42,8,1
137840,3086,65919,29763,6654,9520,972,1456,512,248,191,99,73,58,41,13,62,1020,45,42,41,8,37,9,0
135591,5991,67707,29324,9464,8403,529,1502,531,247,184,90,68,61,33,9,86,1297,44,20,14,17,19,13,0
136898,4987,71560,28948,11305,9935,1540,623,555,266,193,105,70,65,39,13,103,1052,59,26,30,11,24,16,0
135618,3533,68304,28016,10662,8960,1183,266,449,272,181,103,71,58,34,10,97,1061,70,27,25,16,17,7,1
137536,7238,69214,28814,6655,9955,511,777,491,258,218,109,73,71,36,13,80,1298,60,23,8,12,12,13,1
135578,748,75978,29597,9835,9963,707,667,520,264,209,89,72,60,32,13,70,1221,63,19,18,23,18,10,0
136996,6939,68896,28433,11778,9733,1236,1236,469,243,194,101,72,71,37,13,88,1091,65,28,27,19,0,11,1
138761,462,75169,29066,9609,9667,913,1332,438,263,201,94,72,63,42,10,57,1062,70,26,27,22,38,12,0
137478,4729,69339,29091,7241,9044,521,53,453,242,221,90,68,61,37,12,134,1079,63,47,39,18,17,8,0
138265,5372,66604,29403,8922,9349,413,773,448,224,211,90,75,62,36,12,132,699,53,19,39,21,22,11,0
137288,2245,70930,28211,10532,9850,1374,394,532,252,221,108,69,63,42,9,55,1224,50,36,27,23,24,10,1
138299,7259,72582,28202,10653,8663,1613,511,534,244,187,98,73,63,41,13,58,1051,42,42,34,19,39,11,1
137382,1734,75455,28725,10496,8279,1303,800,492,258,195,106,74,68,31,10,112,823,54,45,11,22,42,12,0
135400,4606,68607,28108,10792,8389,1582,324,473,270,222,100,71,51,32,11,132,765,55,23,40,8,16,7,1
137063,5146,66661,28967,11453,8286,498,95,467,248,189,107,75,65,33,9,96,724,43,31,28,17,41,7,0
135979,2574,71965,28283,10739,8585,976,173,539,226,209,101,68,58,33,11,118,1158,67,27,30,19,21,15,1
138177,7488,69594,28940,6676,9460,586,343,505,253,204,96,76,59,36,10,118,1292,64,30,12,14,35,7,0
138304,3636,67087,29960,12167,8872,593,204,493,251,195,111,71,62,41,13,121,1091,63,30,13,15,36,7,0
138319,2341,66373,29629,8048,9932,1202,54,497,230,201,104,76,59,38,12,144,832,69,24,39,15,15,14,1
135702,1784,74657,29248,8257,9157,1682,709,526,232,221,99,69,60,33,13,104,1068,49,43,13,13,25,12,1
137654,5631,71202,28736,9875,9399,560,225,535,227,204,111,75,63,34,10,53,787,69,20,33,10,31,14,1
138845,867,68899,29774,6850,8281,1630,1330,454,244,187,108,72,60,39,10,57,1151,67,20,16,17,17,16,1
136951,4111,68355,29141,11590,9362,314,1304,470,248,204,92,74,70,42,9,120,1049,47,39,8,18,36,8,1
136004,3605,71776,28931,9194,9471,349,301,467,231,203,105,72,69,38,9,118,921,48,21,28,14,29,8,0
137346,8036,65959,28602,7801,8245,639,1228,450,252,205,96,73,54,38,10,131,1031,61,45,29,17,20,12,1
137931,6048,71620,29363,10668,9167,687,219,449,240,188,89,74,69,31,10,57,1148,70,38,31,23,24,14,0
137095,1680,71813,29824,8618,9939,859,1003,469,276,214,108,76,68,39,10,111,1039,70,36,28,14,15,12,0
137973,6179,69942,29304,9042,8598,798,427,524,248,215,91,73,51,37,9,78,1081,71,46,22,11,8,16,1
136770,4860,76074,28490,8510,8902,885,140,530,221,202,101,68,70,40,9,66,842,71,39,17,8,34,12,1
136160,8022,74621,28018,10754,10098,1687,454,471,247,214,89,68,61,34,10,93,910,52,24,33,22,31,11,1
137860,4138,71673,29198,9165,9418,360,144,520,236,208,111,68,71,36,11,127,803,66,47,17,9,37,10,0
136685,7514,75766,29492,7259,10122,529,968,449,256,181,111,72,58,31,13,135,973,51,22,33,9,9,14,0
137890,7795,69766,29641,9488,8630,1341,525,441,226,224,90,73,61,41,11,126,1237,71,36,14,15,1,12,0
136228,3196,74960,28800,7279,9462,324,157,526,230,217,93,73,56,38,9,104,1240,54,46,16,20,23,12,1
138489,811,70887,28759,11764,10152,1662,104,463,259,210,96,76,56,39,9,94,765,60,28,20,22,33,10,0
135702,5724,75594,29858,9210,8315,416,741,519,264,205,105,68,61,39,11,133,803,63,23,39,14,28,16,1
138014,1101,67771,29165,7583,8885,1102,889,501,239,182,111,70,55,42,11,134,789,59,27,31,15,38,12,1
135597,5789,74643,29486,11370,9735,1258,288,467,230,208,111,71,61,39,12,112,733,47,18,24,19,29,8,1
136070,5807,71475,28928,10259,10091,1099,631,559,246,208,90,76,54,31,11,141,993,52,25,9,13,40,12,1
138042,4078,73584,28297,9112,10084,646,1208,471,254,203,96,68,58,40,11,67,1102,51,39,39,11,30,13,1
135592,7523,76058,29493,9509,8327,1608,1240,470,261,218,99,75,61,40,12,99,937,53,36,13,23,39,7,0
135406,1110,66581,28704,6832,10057,508,1054,468,221,204,107,70,60,42,13,85,867,50,43,33,18,15,9,0
136238,4972,68477,29886,9405,9008,462,278,493,230,215,101,75,61,40,11,89,1133,47,39,25,21,29,16,1
137081,4770,70967,28814,8032,9760,746,947,499,253,188,95,69,69,39,11,99,1206,48,43,23,16,34,16,0
138825,6838,69811,28802,11152,8384,1117,1498,468,246,216,107,73,71,40,9,88,1268,59,32,12,14,37,10,1
138139,5036,76096,28372,7410,10110,483,224,514,254,198,94,69,51,36,13,122,1221,72,24,40,14,10,9,0
136684,4517,69181,29491,11602,9743,1254,1200,461,257,200,101,74,58,41,11,98,1139,46,47,27,16,42,10,0
138846,6420,67713,28927,8724,9227,902,83,506,269,184,105,73,57,42,11,104,1009,69,35,11,11,5,13,1
136063,4731,66844,28950,8814,9369,1371,1591,488,233,188,108,74,66,36,11,124,760,47,23,41,20,17,9,1
137990,2535,70084,29461,9782,9800,1148,91,502,258,206,111,76,55,31,10,127,1164,60,39,41,16,6,12,1
138512,7935,71061,28843,10558,8743,829,7,535,250,219,111,76,55,32,10,78,1308,51,29,14,10,14,8,0
135763,5455,73174,28946,7228,8125,1608,1597,547,244,200,92,73,66,41,13,81,940,45,38,41,19,42,15,1
136220,3583,75550,29743,9025,10145,883,1077,446,262,198,99,75,65,40,9,54,1278,55,24,39,12,28,7,0
135295,2821,72261,28442,7796,8811,1034,1186,445,254,213,105,73,63,38,13,76,1212,51,31,33,14,37,13,0
137123,4961,70926,29479,9368,9125,907,478,559,257,198,89,69,60,32,12,70,750,57,19,36,15,3,16,0
136957,4574,69814,29271,7692,9726,1295,107,544,239,214,99,72,67,40,11,85,878,49,23,25,13,28,11,0
137732,2259,66445,28141,9206,9168,374,1294,473,222,199,107,72,58,39,13,137,836,69,41,32,8,15,12,1
138678,3936,74402,28401,9678,9038,1549,236,530,250,222,101,71,64,34,11,138,708,60,39,35,20,15,14,0
137478,1827,70750,29919,6733,8102,964,1284,536,242,213,111,76,61,41,13,85,1257,49,29,8,17,4,16,0
137996,4281,66866,28822,8123,9572,1076,981,506,252,201,102,69,64,34,12,84,1192,51,21,11,15,17,13,1
136878,2103,75887,28221,8746,9258,1382,528,493,253,187,104,74,60,42,11,85,1239,72,39,23,20,20,12,1
138442,6321,68305,28736,10925,9414,1583,628,483,260,194,102,73,65,35,10,92,1270,62,32,14,9,24,14,0
135740,7394,69807,29889,7351,8275,648,1410,447,235,213,95,70,64,37,11,114,1220,44,22,21,18,0,7,1
136259,3554,69548,29207,6850,9243,558,1426,539,226,184,93,74,59,41,10,66,987,53,35,9,8,35,12,0
137772,3150,73583,29387,8608,9897,630,1381,511,256,223,97,75,68,31,9,97,998,46,18,26,9,41,9,1
136383,989,69292,29840,11959,9050,1529,1242,448,264,182,99,71,62,39,10,78,1299,67,47,20,17,42,13,1
136922,1507,73822,28993,10239,8440,685,1488,553,236,220,106,75,66,36,13,79,727,70,44,18,11,5,7,0
138514,3723,73327,29211,11774,8220,725,991,445,241,211,97,73,55,35,11,62,1056,68,26,8,8,3,10,0
138357,6960,71060,28112,7596,8674,602,1444,505,254,226,97,72,64,35,11,123,931,51,35,27,16,3,13,0
137019,3981,74446,29204,11103,10020,909,1172,554,260,210,94,75,54,31,13,133,1178,59,25,36,17,0,9,1
137825,1328,76093,29222,6969,9784,352,1380,455,274,190,108,73,57,31,11,95,1207,47,31,39,21,32,16,1
137929,5034,73345,29925,11761,9616,797,1074,559,258,201,109,75,53,37,12,120,1018,54,28,41,9,2,14,1
137804,7279,68277,29093,11459,9068,1624,53,521,255,203,94,73,71,32,11,68,1129,67,36,20,11,6,10,1
136797,545,70647,28597,9929,10176,301,1162,559,253,217,92,71,72,42,11,76,691,57,47,22,9,15,16,1
138260,1344,69589,28903,7890,9934,458,748,547,228,188,99,69,54,34,9,73,952,68,28,35,15,22,16,0
137893,4148,65829,28484,11117,8784,987,1136,559,232,190,90,70,54,38,11,102,1149,62,37,20,10,15,11,1
135995,3144,68192,29422,11787,8742,1412,426,440,259,205,100,74,56,36,11,131,1107,50,21,12,11,0,16,0
136251,2847,74758,29945,11169,9204,1675,497,545,269,213,96,73,56,42,12,114,697,56,39,32,21,1,7,0
136843,7503,72743,28550,6757,9416,1532,1315,452,265,197,101,73,67,34,10,144,1246,49,33,32,19,10,8,1
138827,6267,74965,29666,9289,8393,1217,345,497,276,204,92,76,52,37,10,104,693,64,34,37,9,41,15,0
136563,3233,70034,29976,11668,9620,1298,510,557,238,222,97,72,51,37,11,70,1259,49,38,16,20,0,9,0
137181,1415,75089,29033,8523,8846,1227,440,509,268,210,104,76,55,31,10,60,692,63,22,9,15,13,16,0
136554,8029,67825,28002,8561,8832,810,921,547,260,181,90,68,52,31,9,61,1151,62,45,15,9,1,7,0
136863,7248,69061,29501,9271,9681,643,721,492,241,197,107,70,65,35,9,111,1187,65,34,34,17,31,9,0
136729,3760,71441,29837,6781,8423,704,1504,507,276,208,93,72,71,37,10,96,1240,42,20,13,17,29,10,0
137238,1210,68042,28661,11562,9185,1238,227,558,247,193,108,74,67,36,9,122,895,43,35,14,18,31,11,1
138619,5023,69935,28066,11162,8461,1519,996,547,232,190,102,72,65,31,11,119,984,66,43,38,22,15,13,1
136696,1980,69725,28704,10338,10200,1351,609,537,226,181,99,71,70,37,10,70,955,64,46,12,20,42,10,0
138502,5507,73961,29120,11721,8501,951,827,521,251,200,91,72,66,31,12,135,849,49,25,9,20,26,15,0
137437,329,69130,29554,6663,9686,1576,1113,469,254,187,108,68,58,32,11,125,1234,53,47,29,11,36,16,1
138496,6412,72292,29341,9552,8780,1333,789,443,227,212,97,72,57,41,11,65,1182,53,47,33,18,29,8,1
136608,899,65833,28097,11306,9992,1292,1559,453,251,201,93,76,51,40,11,92,1110,46,20,38,8,0,14,1
136600,576,69862,29080,9158,9092,1158,395,550,274,206,111,70,53,41,10,121,1216,57,47,31,8,10,15,0
136506,3660,72420,29886,11944,9572,1226,1098,503,224,225,112,73,72,37,12,99,1045,53,30,35,18,32,10,0
137880,827,71863,29130,7362,9206,1267,827,519,272,187,106,76,56,31,12,76,756,53,32,18,14,28,7,1
137875,1864,72589,28087,8253,9032,1493,1359,546,268,218,97,73,56,41,12,89,1252,48,42,39,17,27,8,1
136172,1088,69387,28971,9930,9903,431,1187,527,237,225,97,73,52,42,10,96,1013,47,22,39,8,28,9,1
136968,6912,74253,28652,10503,10127,1679,1542,521,249,220,90,73,58,35,9,98,1102,50,43,24,9,17,10,1
136482,5464,74382,28655,9775,8180,534,956,453,223,221,94,74,69,33,11,96,1077,67,34,30,10,37,11,1
138630,3933,67655,28911,7290,9359,982,564,522,244,225,92,73,71,34,11,127,1234,47,34,27,23,10,12,0
135909,1288,67255,28370,7660,8840,933,155,546,223,207,89,75,70,42,9,112,1043,57,25,25,9,17,13,1
136679,2514,68271,28374,8625,9780,1037,791,451,266,214,101,69,51,38,10,126,1072,58,43,20,23,25,16,1
136634,5020,70839,28051,10825,8424,1337,502,499,266,192,93,75,66,39,12,55,1279,56,31,18,10,22,15,1
135848,1067,72793,29747,7906,9179,466,780,455,259,192,102,71,53,36,10,69,1165,63,41,17,13,34,11,0
135517,2714,66972,28040,8453,9334,1158,333,445,247,195,102,69,61,41,9,103,1252,46,30,38,11,35,16,1
